														
Analyse du cycle de vie des produits	id: + 2076													
Germinal est un roman :	Précieux	Naturaliste	Réaliste	Pastoral		ANSWERS	Naturaliste							
Quelle oeuvre fut publiée en 1678 ?	Le Rouge et le noir	La Condition humaine	Les Gommes	La Princesse de Clèves		ANSWERS	La Princesse de Clèves							
Le roman d'analyse se caractérise par :	Une psychologie approfondie des personnages	Des personnages trop parfaits	Des lettres fictives	Une analyse empirique		ANSWERS	Une psychologie approfondie des personnages							
Albert Camus est mort en :	1960	1922	1976	1913		ANSWERS	1960							
Marcel Proust a écrit :	Germinal	Madame Bovary	À la recherche du temps perdu	L'Étranger		ANSWERS	À la recherche du temps perdu							
Le classicisme est :	Un roman d'analyse	Un long récit d'aventures	Un style littéraire	Un mouvement culturel		ANSWERS	Un mouvement culturel							
														
Clés de lecture : Balzac et la petite tailleuse chinoise, Dai Sijie	id: + 2929													
Balzac et la Petite Tailleuse chinoise est un roman de langue...	Japonaise	Française	Anglaise	Anglaise		ANSWERS	Française							
Pourquoi Luo et le narrateur sont-ils envoyés dans cette campagne reculée ?	Pour être rééduqués culturellement	Pour suivre une formation agricole	Le gouvernement les éloigne de leurs familles pour les vacances	Pour enseigner la littérature aux paysans		ANSWERS	Pour être rééduqués culturellement							
Comment s'appelle l'adolescent à qui Luo et le narrateur volent la valise de livres ?	Le Racontard	L'Intello	L'Intello	Le Binoclard		ANSWERS	Le Binoclard							
Sur quoi porte la critique politique contenue dans Balzac et la Petite Tailleuse ?	Sur la censure de la culture	Sur les exécutions de masse	Sur le communisme	Sur la politique extérieur de la Chine populaire		ANSWERS	Sur la censure de la culture							
Quels sont les livres présents dans la valise ?	Ce sont des romans d'écrivains occidentaux	Ce ne sont que des livres de Balzac	Ce sont des essais politiques	Ce sont des romans d'écrivains chinois		ANSWERS	Ce sont des romans d'écrivains occidentaux							
Quel est le rêve de Luo, concernant la Petite Tailleuse ?	Il veut qu'elle devienne une modiste reconnue	Il veut qu'elle devienne professeur	Il veut l'éduquer grâce aux livres, pour éveiller sa sensibilité	Il veut partir vivre en ville avec elle		ANSWERS	Il veut l'éduquer grâce aux livres, pour éveiller sa sensibilité							
Par quel objet le chef du village est-il fasciné ?	Par la montre de Luo	Par le réveil de Luo	Par les livres que Luo a en sa possession	Par une charrue		ANSWERS	Par le réveil de Luo							
A quel grand problème la Petite Tailleuse est-elle confrontée ?	Elle est enceinte, et doit accoucher en cachette	Elle est obligée de quitter le village	Elle ne sait pas lire	Elle est enceinte, et doit se faire avorter		ANSWERS	Elle est enceinte, et doit se faire avorter							
Pourquoi le narrateur du roman est-il anonyme ?	Le narrateur est l'auteur, donc il n'y a pas besoin de le nommer	Peut-être pour donner une dimension universelle au personnage	Il s'agit d'un ami de Dai Sijie, qui ne souhaitait pas être nommé	Le narrateur et Luo sont une seule et même personne		ANSWERS	Peut-être pour donner une dimension universelle au personnage							
Le thème du sauvetage des livres contre une société totalitaire est un topos littéraire. Dans quel autre roman le retrouve-t-on ?	Farenheit 451, de Ray Bradbury	La Nuit des temps, de René Barjavel	La Bibliothécaire, de Gudule	Dom Juan, de Molière		ANSWERS	Farenheit 451, de Ray Bradbury							
														
Les oeuvres de Diderot	id: + 2930													
Quel genre littéraire Diderot n'a-t-il jamais abordé ?	La poésie	Le théâtre	Le dialogue	L'essai		ANSWERS	La poésie							
Le roman de Diderot célèbre pour son mode de narration est...	La Religieuse	Le Neveu de Rameau	Jacques le Fataliste et son maître	Entretien d'un père avec ses enfants		ANSWERS	Jacques le Fataliste et son maître							
Quelle est la différence entre un dialogue philosophique et une pièce de théâtre ?	Les personnages des dialogues ne sont pas fictionnels	Le dialogue n'est pas écrit pour la représentation, mais pour montrer le mécanisme de la pensée	Contrairement au dialogue, le théâtre n'aborde pas de thèmes philosophiques	Le dialogue ne comporte pas de didascalies		ANSWERS	Le dialogue n'est pas écrit pour la représentation, mais pour montrer le mécanisme de la pensée							
Quel récit de voyage Diderot a-t-il publié ? Est-ce...	Voyage en Espagne	Voyage en Italie	Voyage en Russie	Voyage en Hollande		ANSWERS	Voyage en Hollande							
Qu'est-ce que les Salons de Diderot ?	Des compte-rendus de salons mondains	Des dialogues philosophiques ayant lieu dans des salons	Des critiques d'art publiées dans la Correspondance littéraire	D Des nouvelles		ANSWERS	Des critiques d'art publiées dans la Correspondance littéraire							
Dans son essai Paradoxe sur le comédien (1830), Diderot défend l'idée que...	Le comédien doit vivre les mêmes émotions que le personnage qu'il incarne	Le comédien doit lire son texte par cœur sur scène	Le comédien ne peut qu'imiter des émotions	D Le comédien n'arrivera jamais à imiter parfaitement les émotions des personnages qu'il incarne		ANSWERS	Le comédien ne peut qu'imiter des émotions							
Parmi les ouvres suivantes, laquelle relève du genre du conte philosophique ?	La Religieuse	Supplément au Voyage de Bougainville	Le Neveu de Rameau	Histoire des deux Indes		ANSWERS	Supplément au Voyage de Bougainville							
Avec quel autre philosophe des Lumières Diderot a-t-il supervisé le projet de l'Encyclopédie ?	D'Alembert	Voltaire	Voltaire	Rousseau		ANSWERS	D'Alembert							
De quel article encyclopédique Diderot est-il l'auteur ?	Droit naturel	Esclavage	Monarchie	Egalité naturelle		ANSWERS	Droit naturel							
Qui est le plus grand collaborateur de l'Encyclopédie, en termes de nombres d'articles ?	Diderot	D'Alembert	Le chevalier de Jaucourt	Le Breton		ANSWERS	Le chevalier de Jaucourt							
														
La France en villes	id: + 2931													
Comment appelle-t-on la zone en périphérie des villes ?	La zone périurbaine	La zone urbaine	La zone rurale	La zone métropolitaine		ANSWERS	La zone périurbaine							
Comment appelle-t-on les grandes villes qui concentrent les fonctions stratégiques ?	Des villes moyennes	Des métropoles	Des villes stratégiques	Des mégalopoles		ANSWERS	Des métropoles							
Combien y a-t-il de métropoles mondiales en France ?	5	9	1	3		ANSWERS	1							
Comment appelle-t-on le phénomène de retour des populations aisées dans le centre-ville ?	La gentrification	La mutabilité	La surpopulation	La densification		ANSWERS	La gentrification							
Comment appelle-t-on les documents qui fixent un projet de territoire dans le respect de l’environnement ?	Des PLU	Des agendas 21	Des plannings d’activités	Des anticipations		ANSWERS	Des agendas 21							
Quel est le nom des nouveaux quartiers écologiques ?	les écovilles	les écozones	les écopays	les écoquartiers		ANSWERS	les écoquartiers							
Quel est le taux d’urbanisation en France ?	Entre 25 et  50%	Entre 50 et 75%	Entre 75 et 90%	95%		ANSWERS	Entre 75 et 90%							
Qu’est-ce que la mobilité pendulaire ?	C’est le déplacement quotidien du domicile au lieu de travail	C’est le temps d’accès aux services publics	C’est le fait de pouvoir bouger d’une région à l’autre au quotidien	C’est le fait de passer la frontière pour aller travailler		ANSWERS	C’est le déplacement quotidien du domicile au lieu de travail							
Qu’est-ce que la congestion urbaine ?	L’insuffisance de moyens de transports au sein des villes	Les embouteillages dans les villes	Un phénomène de surpeuplement des villes	Une densité trop forte dans les villes		ANSWERS	Les embouteillages dans les villes							
Qu’est-ce que l’étalement urbain ?	Un phénomène d’accroissement des villes au niveau de la périphérie	Un accroissement de la densité urbaine dans les centres-villes	Un accroissement de la superficie des campagnes	L’accroissement de la hauteur des immeubles		ANSWERS	Un phénomène d’accroissement des villes au niveau de la périphérie							
														
Résumé : Cyrano de Bergerac, Edmond Rostand	id: + 2932													
En quelle année fut écrit Cyrano de Bergerac ?	1897	1997	1802	1697		ANSWERS	1897							
Qu'a écrit Savinien Cyrano de Bergerac, écrivain qui a inspiré Rostand pour la création du personnage de Cyrano ?	Histoire comique des Etats et Empires d'Orient	Histoire dramatique des Etats et Empires d'Afrique	Histoire comique des Etats et Empires de la Lune	Histoire dramatique des Etats et Empires d'Amérique		ANSWERS	Histoire comique des Etats et Empires de la Lune							
Quel est le lien familial qui unit Cyrano à Roxane ?	Elle est sa soeur de lait	Elle est sa cousine	Elle est son amie d'enfance	Elle est sa nièce		ANSWERS	Elle est sa cousine							
Pourquoi Christian refuse-t-il d'avouer lui-même son amour à Roxane ?	Il craint de ne pas être aimé en retour	Il sait que Cyrano est très aimé d'elle	Il craint de ne pas être assez intelligent pour elle	Il sait que Cyrano l'aime		ANSWERS	Il craint de ne pas être assez intelligent pour elle							
Quelle pièce de théâtre Edmond Rostand réécrit-il, dans le troisième acte de Cyrano?	Roméo et Juliette	Macbeth	Hamlet	Hamlet		ANSWERS	Roméo et Juliette							
Quel est le métier du personnage de Ragueneau ? Est-il...	Professeur	Médecin	Soldat	Restaurateur		ANSWERS	Restaurateur							
Le personnage de De Guiche est également amoureux de Roxane. Que désire-t-il la voir faire ?	Il veut qu'elle épouse le vicomte Valvert	Il veut l'épouser	Il voit d'un bon oeil son mariage avec Christian	Il préfèrerait qu'elle épouse Cyrano		ANSWERS	Il veut qu'elle épouse le vicomte Valvert							
Comment Christian se rend-il compte que Cyrano aime Roxane ?	Il surprend l'émotion dans la voix de Cyrano	Cyrano lui avoue qu'il écrit plus à Roxane qu'il ne le lui a dit	Il entend Cyrano avouer son amour à Ragueneau	Il surprend un mot personnel dans l'une de ses lettres		ANSWERS	Cyrano lui avoue qu'il écrit plus à Roxane qu'il ne le lui a dit							
Comment Roxane se rend-elle compte que Cyrano est le véritable auteur des lettres ?	Il lui avoue la vérité	Christian lui avoue la vérité	Elle s'en rend compte en l'écoutant lire une de ses lettres	Elle surprend une conversation		ANSWERS	Elle s'en rend compte en l'écoutant lire une de ses lettres							
Où se déroule le dernier acte ?	Dans un couvent	Au siège d'Arras	Dans un théâtre	Dans un restaurant		ANSWERS	Dans un couvent							
														
La république, trois républiques	id: + 2933													
Quelle bataille marque la défaite de la France face à la Prusse ?	La bataille d'Austerlitz	La bataille de Paris	La bataille de Sedan	La bataille de Bir Hakeim		ANSWERS	La bataille de Sedan							
Quel est le nom du régime établi par les révolutionnaires de la ville de Paris en 1871 ?	La commune de Paris	La république de Paris	Le royaume de Paris	La monarchie de Paris		ANSWERS	La commune de Paris							
Quelle est l'année de la séparation de l'Eglise et de l'État en France ?	1881	1871	1905	1906		ANSWERS	1905							
Par quelle action le capitaine Dreyfus a-t-il été réhabilité ?	Par la justice	Par le parlement	Par des manifestations du peuple	Par des publications d'auteurs comme Emile Zola		ANSWERS	Par des publications d'auteurs comme Emile Zola							
Que prône la république pour justifier la colonisation ?	La mise en place des droits de l'homme	La mise en place des idéaux démocratiques	La mise en place de la monarchie	La mise en place de l'autorité de la France sur les pays colonisés		ANSWERS	La mise en place des idéaux démocratiques							
Qu'est-ce qui a marqué la fin de la troisième République (1870-1940) ?	La conquête de la France par l'Allemagne	Le second empire de Napoléon	L'arrivée au pouvoir du maréchal Pétain qui met en place un régime autoritaire	La décolonisation		ANSWERS	L'arrivée au pouvoir du maréchal Pétain qui met en place un régime autoritaire							
Quelle était la capitale de la France libre du gouvernement de Charles de Gaulle en 1942 ?	Paris	Vichy	Alger	Londres		ANSWERS	Alger							
Quel personnage célèbre est envoyé par de Gaulle afin d'unifier la résistance française ?	Le maréchal Pétain	Churhill	Pierre Laval	Jean Moulin		ANSWERS	Jean Moulin							
Quelle est la caractéristique principale de la quatrième République ?	Le gouvernement contrôle entièrement l'assemblée	L'assemblée contrôle entièrement le gouvernement	Le président contrôle le gouvernement	L'assemblée n'a aucun pouvoir		ANSWERS	L'assemblée contrôle entièrement le gouvernement							
Quelle est la date de la proclamation de l'actuelle Ve république ?	Le 4 octobre 1958	Le 4 septembre 1958	Le 1er juin 1958	Le 29 mai 1958		ANSWERS	Le 4 octobre 1958							
														
Valoriser et ménager les milieux	id: + 2934													
Que représente la ZEE ?	la zone extrême écologique	la zone économique exclusive	la zone économique élargie	La zone écologique d’exclusivité		ANSWERS	la zone économique exclusive							
Sur combien de mille nautiques s’étend la ZEE ?	200 milles nautiques	250 miles nautiques	300 miles nautiques	350 miles nautiques		ANSWERS	200 milles nautiques							
Quel est le nombre de climats sur le territoire français ?	5	6	7	8		ANSWERS	6							
Quel est la surface occupée par la forêt en France métropolitaine ?	25 %	28%	31 %	48 %		ANSWERS	31 %							
Quel est la plus grande région française ?	la région Rhône-Alpes	la région PACA	la région Midi-Pyrénées	la Guyane française		ANSWERS	la Guyane française							
Quelle est la ressource présente en abondance et indispensable à l’agriculture ?	L’eau	le pétrole	l’électricité	le charbon		ANSWERS	L’eau							
Quelle est le nom de l’énergie permettant de créer de l’électricité en utilisant la force du courant des fleuves ou des rivières ?	l’énergie verte	l’énergie fossile	l’énergie hydro-électrique	l’éco- énergie		ANSWERS	l’énergie hydro-électrique							
En quelle année est votée la loi littorale permettant de prendre en compte les risques naturels et de protéger les zones sensibles ?	1965	1995	1999	2003		ANSWERS	1995							
A quel risque naturel le sud de la France et certaines zones du littoral atlantique sont le plus souvent soumises ?	Les inondations	les ouragans	les séismes	les tsunamis		ANSWERS	Les inondations							
Quelle est l’activité principale dans les terres australes françaises et en Antarctique ?	il n’y a aucune activité dans ces terres désertiques	la recherche scientifique	la pêche	l’élevage		ANSWERS	la recherche scientifique							
														
Les dynamiques des espaces productifs dans la mondialisation	id: + 2935													
Quel phénomène constate-t-on dans l’économie française ?	Une industrialisation	Une tertiarisation	Une raréfaction des ressources	Une diminution de la part des services dans le PIB		ANSWERS	Une tertiarisation							
Comment mesure-t-on les investissements étrangers en France ?	avec les IDE	avec l’IDH	avec le PIB	avec le PIB par habitant		ANSWERS	avec les IDE							
Comment appelle-t-on les entreprises présentes à l’étranger ?	Les entreprises internationales	Les entreprises mondiales	Les firmes nationales	Les firmes multinationales		ANSWERS	Les firmes multinationales							
Quel est le nom du label garantissant la qualité des produits ?	AOH	AOC	RAO	ROC		ANSWERS	AOC							
Quelle tendance observe-t-on pour les IDE pour l’année 2013 ?	Une nette diminution	Une faible diminution	Une stagnation	Une légère hausse		ANSWERS	Une nette diminution							
Quel est le nom du système de production utilisé en France ?	Le fordisme	Le taylorisme	Le toyotisme	Le capitalisme		ANSWERS	Le toyotisme							
Quel est le nom de la politique agricole européenne ?	La politique agricole commune	La politique de cohésion	La politique de convergence agricole	La politique agricole unique		ANSWERS	La politique agricole commune							
Quel est le nom de l’organisme français chargé de promouvoir la réduction des inégalités entre les régions ainsi que leur développement ?	Le conseil européen	La PAC	La DATAR	Le FEDER		ANSWERS	La DATAR							
En quelle année a été créée la DATAR ?	en 1955	en 1963	en 1967	en 1973		ANSWERS	en 1963							
Quels les 5 principes du toyotisme ?	Les 5 zéros	Les 5 sacrés	Les 5 perfections	Les 5 défauts		ANSWERS	Les 5 zéros							
														
Le présent de l'indicatif: verbes réguliers, irréguliers et à diphtongues	id: + 2941													
Quel est l'infinitif du verbe conjugué suivant : "Vosotros bailáis bien" ?	Bailer	Bailar	Bailir	Bailur		ANSWERS	Bailar							
Comment se conjugue le verbe "vivir" à la troisième personne du pluriel du présent de l'indicatif ?	Viven	Vivan	Vivin	Vivian		ANSWERS	Viven							
Comment se conjugue le verbe "fumar" à la deuxième personne du singulier du présent de l'indicatif ?	Fumis	Fumo	Fumas	Fuma		ANSWERS	Fumas							
A quelle catégorie de verbes le verbe "ser" appartient-il ? Est-ce...	Un verbe régulier	Un verbe à diphtongue	Un verbe irrégulier	Il ne se conjugue pas		ANSWERS	Un verbe irrégulier							
Comment se conjugue le verbe "hacer" à la première personne du singulier du présent de l'indicatif ? Est-ce...	Habo	Hago	Haga	Hazco		ANSWERS	Hago							
Lorsqu'un verbe est à diphtongues,quelles sont les personnes auxquelles se modifient son radical ? Sont-ce...	Les trois premières personnes du singulier et la dernière du pluriel	Les deux premières personnes du singulier et la dernière du pluriel	Les trois personnes du pluriel	Les deux premières du singulier et les deux dernières du pluriel		ANSWERS	Les trois premières personnes du singulier et la dernière du pluriel							
Quel est l'infinitif de la première personne du singulier "almuerzo" (je déjeune) ?	Almurzar	Almerzar	Almarzar	Almorzar		ANSWERS	Almorzar							
Comment se conjugue le verbe "salir" (sortir) à la première personne du singulier du présent de l'indicatif ?	Salgo	Sales	Salo	Saldo		ANSWERS	Salgo							
Comment se conjugue le verbe "empezar" à la troisième personne du singulier du présent de l'indicatif ?	Empeza	Empezas	Empezco	Empieza		ANSWERS	Empieza							
Comment se conjugue le verbe "pensar" à la troisième personne du pluriel du présent de l'indicatif ?	Pensan	Piensen	Piensan	Pensen		ANSWERS	Piensan							
														
La République et les évolutions de la société française	id: + 2946													
Quel phénomène économique du XIXème siècle est à l’origine du socialisme qui marquera durablement les évolutions de la société française ?	L’industrialisation	la tertiarisation	le libre-échange	le protectionnisme		ANSWERS	L’industrialisation							
En quelle année a été reconnu le droit de grève en France ?	En 1864	En 1884	En 1936	En 1945		ANSWERS	En 1864							
En quelle année le front populaire arrive il au pouvoir ?	En 1895	En 1905	En 1936	En 1945		ANSWERS	En 1936							
Quelle loi marque la séparation de l’Eglise et de l’Etat en France ?	La loi de 1901	La loi de 1905	les lois sociales de 1936	la loi de 1875		ANSWERS	La loi de 1905							
En quelle année le droit de vote est-il accordé aux femmes en France ?	En 1918	En 1936	En 1944	En 1958		ANSWERS	En 1944							
Quel président de la cinquième République tente sans succès de mettre fin à l’école libre (école privée) ?	Valéry Giscard d’Estaing	François Mitterrand	Jacques Chirac	Nicolas Sarkozy		ANSWERS	François Mitterrand							
Quel terme désigne une frontière virtuelle mais réelle empêchant les femmes d’arriver au sommet des responsabilités ?	Le plafond de verre	la frontière invisible	le plafond invisible	la frontière infranchissable		ANSWERS	Le plafond de verre							
Quel événement déterminant pour les femmes a lieu en 1975 ?	La légalisation de l’IVG	la loi sur la parité hommes-femmes	le droit de vote accordé aux femmes	une femme devient 1er ministre		ANSWERS	La légalisation de l’IVG							
Quelle fût la principale instigatrice de la légalisation de l’IVG ?	Simone Weil	Simone de Beauvoir	Edith Cresson	Ségolène Royal		ANSWERS	Simone Weil							
Quelle était la valeur importante prônée par la troisième République et qui provoquera la séparation de l’Eglise et de l’Etat en 1905 ?	La laïcité	le pacifisme	le cléricalisme	la religion		ANSWERS	La laïcité							
														
Croissance et mondialisation	id: + 2962													
Quels sont les 3 grands pôles de puissance qui forment la triade ?	l’Europe Orientale,  l’Inde, les Etats-Unis	l’Europe occidentale, les Etats- Unis, la Chine	l’Europe occidentale, les Etats-Unis, l’Asie Orientale	les Etats-Unis, la Chine, l’Europe du Sud		ANSWERS	l’Europe occidentale, les Etats-Unis, l’Asie Orientale							
Quels sont les deux éléments qui permettent les gains de productivité et donc la croissance ?	l’innovation	le développement économique	l’augmentation de l’espérance de vie	la baisse de la productivité		ANSWERS	l’innovation							
Quel phénomène économique démontre Joseph Schumpeter ?	la création destructrice	la destruction créatrice	la main invisible	l’effet de levier		ANSWERS	la destruction créatrice							
Dans quel pays naît la révolution industrielle ?	La France	l’Angleterre	l’Allemagne	les Etats-Unis		ANSWERS	l’Angleterre							
Quel est le moteur du capitalisme ?	la valeur ajoutée	l’innovation	le progrès technique	l’augmentation de la production		ANSWERS	la valeur ajoutée							
Quelle idéologie s’affirme au XIX ème siècle ?	le communisme	le fascisme	le socialisme	le népotisme		ANSWERS	le socialisme							
Quel est le premier pays communiste ?	la Corée du Nord	la Russie	la RDA	la Chine		ANSWERS	la Russie							
Quel événement provoque la séparation entre communistes et socialistes français ?	la révolution russe	la première guerre mondiale	le congrès de Tours	la guerre froide		ANSWERS	le congrès de Tours							
Quelle idéologie se revendique comme anticapitaliste ?	le socialisme	le communisme	le nazisme	le fascisme		ANSWERS	le communisme							
Comment qualifie-t-on le monde en termes de puissance aujourd’hui ?	Unipolaire	bipolaire	multipolaire	sans pôle de puissance		ANSWERS	multipolaire							
														
Genèse et affirmation des régimes totalitaires (soviétique, fasciste et nazi)	id: + 2963													
Quel est le seul régime non totalitaire en Europe à la veille de la seconde guerre mondiale ?	l'Allemagne	l’Espagne de Franco	l’URSS	l'Italie		ANSWERS	l’Espagne de Franco							
Quel pays européen marqué par l’irrédentisme bascule dans le fascisme ?	l’Italie	l’Allemagne	l’Espagne de Franco	le Portugal de Salazar		ANSWERS	l’Italie							
Quelles sont les dates de la guerre civile russe ?	1917- 1922	1917- 1918	1919- 1921	1914- 1918		ANSWERS	1917- 1922							
Comment Adolf Hitler arrive-t-il au pouvoir en Allemagne en 1933 ?	Par la force	par la voie légale (élections)	par un coup d’état	en s’alliant avec les communistes		ANSWERS	par la voie légale (élections)							
Quel est le résultat de la politique économique menée par Hitler ?	Un chômage toujours plus élevé	l’éradication du chômage	des grèves massives	la stagnation du chômage		ANSWERS	l’éradication du chômage							
Quel  est le projet politique de Mussolini ?	rétablir l’Empire romain en s’appropriant la mer méditerranée	prendre le contrôle de territoires à l’est pour permettre l’expansion italienne	prendre le contrôle de l’Afrique entière	Ecraser la France et l’Angleterre le plus vite possible afin de se tourner ensuite vers l’anéantissement de l’URSS		ANSWERS	rétablir l’Empire romain en s’appropriant la mer méditerranée							
Quelle est l’entité qui est la source de toute décision en URSS ?	le prolétariat	la douma	le soviet suprême	le PCUS (Parti Communiste de l’Union Soviétique)		ANSWERS	le PCUS (Parti Communiste de l’Union Soviétique)							
Quels sont les rapports diplomatiques entre l’URSS et l’Allemagne au 1er janvier 1941 ?	les deux pays sont en guerre	les deux pays sont alliés	les deux pays sont en guerre froide	les deux pays sont neutres et restent à distance de la guerre		ANSWERS	les deux pays sont alliés							
Quel pays de l’Asie Orientale développe des visées expansionnistes dans la région ?	la Chine de Mao Zedong	la Chine de Tchang Kai Chek	le Japon	l’URSS		ANSWERS	le Japon							
Quels sont les résultats de la conférence de Munich de 1938 ?	la dislocation de la Tchécoslovaquie	la fin de l’URSS	la guerre franco- allemande	une perte de crédibilité pour l’Italie et l’Espagne		ANSWERS	la dislocation de la Tchécoslovaquie							
														
Résumé : La 25ème heure, Virgil Gheorghiu	id: + 2964													
De quel village sont originaires Iohann Moritz et Traian Koruga ?	Fantana	Budapest	Bucarest	Albae		ANSWERS	Fantana							
Pourquoi le gendarme arrête-t-il Moritz sous le prétexte qu'il est juif, alors que c'est faux ?	Il le déteste	Il pense réellement que Moritz est juif	Il veut l'éloigner pour séduire sa femme, Suzanna	Il veut prendre le travail de Moritz		ANSWERS	Il veut l'éloigner pour séduire sa femme, Suzanna							
Quelle est la profession de Traian Koruga, fils du prêtre Koruga ?	Prêtre, comme son père	Poète et écrivain	Professeur	Médecin		ANSWERS	Poète et écrivain							
Vers quel pays fuient Iohann Moritz, Traian Koruga et Eleonora West, pour échapper aux lois antisémites ?	La Bulgarie	L'Allemagne	La France	La Hongrie		ANSWERS	La Hongrie							
Pourquoi Iohann Moritz devient-il SS, lorsqu'il est en camp de travail allemand ?	Un docteur l'a reconnu comme un spécimen d'une race précise	Iohann Moritz est d'accord avec l'idéologie nazie	Iohann Moritz veut bien se faire voir pour être renvoyé chez lui	Il y est obligé		ANSWERS	Un docteur l'a reconnu comme un spécimen d'une race précise							
Pourquoi Moritz est-il encore une fois emprisonné, après avoir atteint la zone libre ?	Il a volé de la nourriture	Il errait	Parce qu'il est roumain	En raison de sa religion		ANSWERS	Parce qu'il est roumain							
Qu'advient-il de sa deuxième épouse, restée en Allemagne avec leur fils ?	Elle s'enfuit avec un soviétique	Elle meurt dans un incendie accidentel	Il la retrouvera à la sortie du camp	Elle est tuée par un soldat de la libération		ANSWERS	Elle meurt dans un incendie accidentel							
Pourquoi la grève de la faim de Traian Koruga échoue-t-elle ?	La direction du camp l'envoie dans un asile	Il n'arrive pas à le supporter, et meurt	Son père, le prêtre Koruga, le convainc de manger	Les dirigeants ne se laissent pas convaincre		ANSWERS	La direction du camp l'envoie dans un asile							
Quelle scène présente l'épilogue du roman ?	La libération de Iohann Moritz	Les retrouvailles de Iohann et de Suzanna	La naissance du dernier enfant de Moritz	La rencontre entre Moritz et Eleonora West		ANSWERS	La rencontre entre Moritz et Eleonora West							
Quelle idée philosophique défend La Vingt-Cinquième heure ?	Le texte défend le communisme soviétique contre le nazisme	Le danger ontologique que représente la réduction de l'humain à l'objet	C'est une défense des intellectuels	La responsabilité du moindre fonctionnaire, à l'instar d'Eichmann		ANSWERS	Le danger ontologique que représente la réduction de l'humain à l'objet							
														
Le théâtre de l'absurde	id: + 2965													
Quel courant philosophique évoquait déjà la future philosophie du théâtre de l'absurde ?	Le rationalisme	L'idéalisme	L'existentialisme	Le positivisme		ANSWERS	L'existentialisme							
Quel roman, de langue allemande, préfigure les thèmes du théâtre de l'absurde ?	Le Procès, de Franz Kafka	Le Tambour, de Günter Grass	Effie Briest, de Theodor Fontane	Le Jouer d'échecs, de Stefan Zweig		ANSWERS	Le Procès, de Franz Kafka							
Quelle oeuvre relevant du théâtre de l'absurde se joue sans parole ?	Acte sans parole, de Beckett	Acte sans parole, d'Ionesco	En attendant Godot, de Beckett	Les Chaises, d'Ionesco		ANSWERS	Acte sans parole, de Beckett							
Qui est l'auteur de Rhinocéros ?	Samuel Beckett	Arthur Adamov	Eugène Ionesco	André Malraux		ANSWERS	Eugène Ionesco							
Dans quelle pièce de théâtre le personnage principal est-il peu à peu enterré dans un tas de sable ?	En attendant Godot	Oh les beaux jours	La Cantatrice chauve	La leçon		ANSWERS	Oh les beaux jours							
Samuel Beckett refuse le terme d'"absurde" pour qualifier son théâtre. Quelle notion lui préfère-t-il ?	Le gâchis	L'anecdote	Le désespoir	L'insolite		ANSWERS	Le gâchis							
De quelle nationalité est Eugène Ionesco ?	Allemande	Irlandaise	Roumaine	Italienne		ANSWERS	Roumaine							
Dans quelle pièce d'Eugène Ionesco deux personnages attendent-ils la venue d'un Orateur, qui ne parle jamais ?	Rhinocéros	La Leçon	Les Chaises	La Cantatrice chauve		ANSWERS	Les Chaises							
Avec Eugène Ionesco et Samuel Beckett, quel autre dramaturge représente souvent le théâtre de l'absurde ?	Albert Camus	Jean-Paul Sartre	Victor Hugo	Arthur Adamov		ANSWERS	Arthur Adamov							
Combien d'actes contiennent la plupart des pièces d'Eugène Ionesco et de Samuel Beckett ?	Trois	Un seul	Quatre	Deux		ANSWERS	Un seul							
														
Clés de lecture : Les chaises, Eugène Ionesco	id: + 2966													
En quelle année Ionesco a-t-il écrit les Chaises ?	1942	1952	1962	1982		ANSWERS	1952							
De quel genre théâtral les Chaises est-il souvent cité comme un exemple ?	La tragédie classique	Le drame bourgeois	Le théâtre de boulevard	Le théâtre de l'absurde		ANSWERS	Le théâtre de l'absurde							
Selon le sous-titre des Chaises, à quel registre théâtral appartient la pièce ? Est-ce..	Une farce tragique	Une farce absurde	Une comédie tragique	Une comédie absurde		ANSWERS	Une farce tragique							
Pourquoi les personnages des Vieux s'appellent-ils "les Vieux" ?	On ne connaît pas leurs noms	Ils doivent être joués par plusieurs comédiens	les Vieux introduit le thème de la mort	De manière absurde, ces "vieux" sont joués par des "jeunes"		ANSWERS	les Vieux introduit le thème de la mort							
Quelles thématiques sont abordées, entre autres, par les personnages ?	La guerre, les liens familiaux troubles	La mondanité et le bonheur	La politique et le langage	Le voyage et l'art		ANSWERS	La guerre, les liens familiaux troubles							
De quel personnage les Vieux attendent-ils la venue ?	Leur fils	Leur cousin	L'Empereur	L'Orateur		ANSWERS	L'Orateur							
Que se passe-t-il à la fin de la pièce ?	Les Vieux se suicident	Les Vieux se marient	Les Vieux saluent	Les Vieux tuent leurs invités invisibles		ANSWERS	Les Vieux se suicident							
Quel est le rôle du narratif dans le pièce ?	Très important ; toute la pièce repose sur l'anecdote	Secondaire : il illustre la condition humaine	Equilibré ; le narratif a son importance pour illustrer des idées	Inexistant		ANSWERS	Secondaire : il illustre la condition humaine							
Comment la pièce fut-elle reçue par la critique ?	La critique fut très élogieuse	La critique fut indifférente	La critique fut très mauvaise	La critique fut partagée		ANSWERS	La critique fut très mauvaise							
